_RAJ2000,_DEJ2000,cl,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag
208.560216,14.677379,3,20.961,0.147,20.642,0.043,19.96,0.036,19.747,0.057,19.457,0.147
208.57013,14.68146,6,21.651,0.182,20.987,0.039,20.761,0.051,20.513,0.079,21.077,0.4
208.54884,14.688215,6,26.621,0.436,22.372,0.137,21.134,0.075,20.498,0.084,20.567,0.28
208.552169,14.683442,3,22.699,0.681,21.235,0.073,20.669,0.069,20.274,0.093,20.482,0.39
208.555363,14.68957,3,23.033,0.732,22.143,0.129,20.44,0.047,19.91,0.056,19.408,0.117
208.558508,14.686438,3,26.26,0.986,21.928,0.15,21.873,0.23,21.411,0.298,20.746,0.55
208.564726,14.693931,6,24.504,1.3,22.446,0.134,22.83,0.315,22.058,0.315,22.58,1.012
208.566546,14.685967,6,21.975,0.224,21.204,0.044,20.802,0.051,20.566,0.079,20.082,0.158
208.570248,14.684546,6,26.851,0.315,22.88,0.194,21.49,0.095,20.531,0.08,19.948,0.15
208.575225,14.692277,3,21.935,0.353,21.989,0.143,20.632,0.068,20.246,0.092,19.778,0.21
208.562562,14.69124,6,24.536,1.341,24.649,0.709,22.213,0.186,21.752,0.246,20.903,0.36
208.566377,14.674221,6,25.097,1.215,23.267,0.27,22.04,0.154,22.027,0.305,21.687,0.649
208.572328,14.679369,6,22.822,0.513,23.377,0.306,21.634,0.112,20.641,0.092,20.189,0.194
208.574177,14.69753,6,22.8,0.498,23.27,0.279,21.918,0.147,21.047,0.132,20.7,0.304
208.58047,14.690977,6,22.161,0.271,19.646,0.014,18.254,0.008,17.481,0.007,17.09,0.014
208.58335,14.687126,6,20.412,0.065,19.284,0.012,18.916,0.012,18.807,0.018,18.8,0.053
208.578664,14.690103,6,23.856,1.027,21.862,0.078,20.559,0.044,20.062,0.052,19.781,0.126
208.575738,14.680433,6,21.421,0.147,20.486,0.026,20.036,0.028,19.976,0.047,19.758,0.122
